category	severity	effort	verified	cluster	file	line	summary	evidence	upstreamModule
SEMANTIC_RISK	high	small	Y		Sources/EChartsKit/chart/sankey/sankeyLayout.swift	201	Upstream throws a catchable Error on cyclic (non-DAG) sankey input; the Swift port maps it to fatalError(), which crashes the entire host process on invalid user data instead of surfacing a recoverable error.	"Confirmed at line 203: fatalError(""Sankey is a DAG, the original data has cycle!"") on remainEdges[i]==1. Upstream throws a catchable Error; the port converts invalid (cyclic) user data into an unrecoverable host-process crash. High: crash on user data."	
SEMANTIC_RISK	high	na	Y		Sources/EChartsKit/coord/axisHelper.swift	167	logBase read via `as? Double` silently returns nil for an Int-literal option (logBase: 2), dropping the user value — the known Int-vs-Double option-read trap.	"CONFIRMED real bug — the documented Int-vs-Double option-read trap. `model.get(""logBase"") as? Double` returns nil for an Int-literal `logBase: 2`. That nil flows to LogScaleSetting.logBase, and LogScale.swift:112 `self.base = number.or(setting.logBase, 10)` then silently defaults base to 10. A user's `logBase: 2` is dropped -> wrong log-axis scaling. Matches the memory'd critical-class trap; needs an Int/Double coercion helper."	
SEMANTIC_RISK	high	small	Y		Sources/EChartsKit/coord/cartesian/Cartesian2D.swift	273	Concrete `getArea(_:)->Cartesian2DArea` does not witness protocol `getArea()->CoordinateSystemClipArea?` and — unlike getAxis/getOtherAxis — got NO Phase-51 delegating overload, so callers using a CoordinateSystem existential (e.g. MarkPointView.swift:54, createClipPathFromCoordSys.swift:260) hit the nil-returning default and lose the clip area.	Empirically compiled a minimal swiftc repro (protocol getArea(_:)->ClipArea? + default nil; concrete getArea(_ :Double?=nil)->ConformingStruct): the concrete does NOT witness the optional-existential requirement -> DEFAULT (nil) runs through the existential. No delegating overload exists for getArea (unlike getAxis/getOtherAxis at 259-266). Both callers use the CoordinateSystem existential: MarkPointView.swift:54 `coordSys = ...as? CoordinateSystem; coordSys?.getArea(nil)` -> nil (markPoint relativeTo:coordinate loses width/height/x/y), and createClipPathFromCoordSys.swift:260 `coordSys.getArea(0.1)` -> nil (scatter/line symbol clipping silently disabled).	
SEMANTIC_RISK	medium	medium	Y		Sources/EChartsKit/chart/candlestick/CandlestickSeries.swift	237	Value-semantics workaround writes index-prepended data back to self.option['data']; unlike upstream's dual-alias trick, a later mergeOption that does not replace data would double-prepend the base-category index.	Confirmed: code writes index-prepended items back to self.option['data'] (lines 248-254) instead of upstream's dual-alias trick. The comment itself (lines 244-247) admits a later mergeOption not replacing data would double-prepend the base-category index -> wrong layout on re-merge. Real risk on setOption merge with retained data.	
SEMANTIC_RISK	medium	small	Y		Sources/EChartsKit/chart/heatmap/HeatmapView.swift	605	Piecewise selected flag looked up by best-effort index-string key instead of PiecewiseModel.getSelectedMapKey (which is ported), so geo heatmap piece selection can mis-map vs upstream.	PiecewiseModel.getSelectedMapKey exists (PiecewiseModel.swift:316) and is used elsewhere (PiecewiseView.swift:346), but _renderOnGeo here looks up option.selected by a best-effort index string (L606-608) instead. For geo heatmap with a piecewise visualMap and deselected pieces, selection can mis-map vs upstream. Confined to the geo path.	
SEMANTIC_RISK	medium	medium	Y		Sources/EChartsKit/chart/treemap/TreemapSeries.swift	130	designatedVisualItemStyle is a value-type dict, so treemapVisual's in-place write-through into the live-shared object is lost — and treemapVisual.swift is now ported, making this an active visual-priority bug, not a future concern.	Confirmed active: treemapVisual.swift IS ported and wired (TreemapView present) and writes seriesModel.designatedVisualItemStyle in place (treemapVisual:198/202). designatedVisualModel (line 133) captured a value-copy of the empty dict, so writes never reach it; and node getItemModel parenting to it is also dead (see :165). Parent-designated colorAlpha/colorSaturation inheritance does not take effect.	
SEMANTIC_RISK	medium	small	Y		Sources/EChartsKit/component/tooltip/seriesFormatTooltip.swift	119	Upstream's `dimItem && ...` guard is dropped on the claim that idx always indexes an existing dim, but SeriesData.getDimensionInfo force-unwraps (_getDimInfo(...)!) so a data row whose value array is longer than the declared dimensions makes getDimensionInfo(idx) return nil and SIGTRAPs.	Confirmed as a latent crash, though the crash mechanism differs slightly from the claim. Loop at line 122 iterates idx in 0..<value.count (value = series.getRawValue, the raw user row) calling getDimensionInfo(idx). getDimensionInfo (SeriesData.swift:476-481) force-unwraps _getDimInfo(...)!, and getDimension (line 398-399) does self.dimensions[Int(dimIdx!)] with dimIdx = idx unchanged (_recognizeDimIndex returns the number as-is for numeric input, line 451-452). So a data row LONGER than declared dimensions crashes — either an out-of-bounds on dimensions[idx] (non-omitted case) or the '!' nil unwrap — matching why upstream keeps the 'dimItem && ...' guard that the port dropped. Reachability requires an over-long row (uncommon since dimension inference usually sizes dims to the data), so medium rather than high.	
SEMANTIC_RISK	medium	small	Y		Sources/EChartsKit/component/visualMap/PiecewiseModel.swift	412	Force-unwrap of getDataDimensionIndex(data)! traps if the dimension resolves to nil (upstream tolerates undefined).	data.each(self.getDataDimensionIndex(data)!) force-unwraps an Optional DimensionIndex inside findTargetDataIndices (hoverLink/selection targeting). Upstream JS tolerates undefined (data.each(undefined,...) iterates default dim). If the visualMap dimension fails to resolve against a target series' data, this SIGTRAPs. Live path (hoverLink), but only on an unresolved-dimension edge -> medium.	
SEMANTIC_RISK	medium	na	Y		Sources/EChartsKit/coord/CoordinateSystem.swift	149	CoordinateSystemMaster optional methods (getRect/getAxes/getTooltipAxes/convert*) given silent nil/no-op defaults; a conformer whose concrete method has a narrower signature fails to witness and silently hits the nil default (the documented protocol-witness trap, e.g. getRect).	Confirmed: extension (152-169) gives nil/no-op defaults to every optional CoordinateSystemMaster method (getRect/getAxes/getTooltipAxes/convert*). This is exactly the documented protocol-witness trap — a conformer whose concrete method has a narrower (e.g. non-optional-return) signature fails to witness and silently dispatches the nil default. Real latent risk; live sites work around it by concrete-type casts.	
SEMANTIC_RISK	medium	na	Y		Sources/EChartsKit/coord/CoordinateSystem.swift	307	CoordinateSystem optional methods (getBaseAxis/getAxis/getRect/getViewRect/etc.) given nil-returning defaults; a concrete non-optional-return witness (e.g. Cartesian2D.getBaseAxis/getAxis) silently fails to witness and dispatches the nil default — the exact trap Series.swift getBaseAxis/indicesOfNearest work around by casting to Cartesian2D.	Confirmed: extension (309-326) nil-defaults getBaseAxis/getAxis/getRect/getViewRect/etc. Matches the memory-documented trap that Series.swift getBaseAxis/indicesOfNearest already work around by casting to Cartesian2D. A concrete non-optional-return witness silently fails to satisfy and hits the nil default → wrong axis/geometry. Genuine standing risk.	
