layer	action	symbol_id	swift_name	owning_file	container	signature	upstream_ts	n_consumers	consumers	notes
L0	create	ZRenderKit/Path.extensibility	setStyle	Sources/ZRenderKit/Graphic/Path.swift	extension Path	@discardableResult public func setStyle(_ obj: PathStyleProps) -> Self  // merges obj into self.pathStyle via extendPathStyle, then _syncCommonStyle() + dirtyStyle(); returns self	upstream/zrender/src/graphic/Path.ts (Path.extend @624; setStyle inherited from Displayable.ts:400, consumed by tool/path.ts:495 clonePath)	1	Sources/ZRenderKit/Tool/ToolPath.swift	Bundled symbol resolves to ONLY the Path-level setStyle(PathStyleProps) merge overload. Path.extend (runtime-subclass synthesizer) is PERMANENTLY NOT PORTABLE — Swift has no runtime class synthesis; upstream @DEPRECATED; Path.swift:1106-1110 and graphic.swift:507-508 document the non-port. Do NOT create Path.extend; extendShape deferral stands. CREATE the setStyle overload alongside useStyle/createStyle: `var s = self.pathStyle!; extendPathStyle(&s, obj); self.pathStyle = s; self._syncCommonStyle(); self.dirtyStyle(); return self`. Deps exist → L0. Overload by param type (Displayable.swift:469 has CommonStyleProps overload); no setStyle in Path.swift today → exists=false. Consumer fix: ToolPath.swift:621 clonePath switch useStyle(REPLACE) → setStyle(MERGE).
L0	create	ZRenderKit/Text.__marginType+labelMargin	__marginType	Sources/ZRenderKit/Graphic/Text.swift	type	public var __marginType: Int?  // stored property added inside `struct TextStyleProps` body; holds the rawValue of EChartsKit's `labelStyle.LabelMarginType` (1=minMargin, 2=textMargin)	echarts/src/label/labelStyle.ts:825-830 (interface LabelExtendedTextStyle extends TextStyleProps; field `__marginType?: LabelMarginType`), stamped at labelStyle.ts:472,478; read at labelLayoutHelper.ts:178	2	Sources/EChartsKit/label/labelStyle.swift; Sources/EChartsKit/label/labelLayoutHelper.swift	GUESSED UPSTREAM WRONG: not zrender/Text.ts. Real = echarts/src/label/labelStyle.ts LabelExtendedTextStyle. margin ALREADY exists (Text.swift:220) → ONLY __marginType missing (+labelMargin already satisfied). FIX = add ONE stored prop `public var __marginType: Int?` inside struct TextStyleProps body (after margin/padding). Extension can't add stored props → in-place struct edit; container=type. exists=false (field new). MODULE-LAYERING: TextStyleProps in ZRenderKit; enum labelStyle.LabelMarginType in EChartsKit (labelStyle.swift:931, Int raw minMargin=1/textMargin=2). EChartsKit depends on ZRenderKit not vice-versa → field typed Int? (rawValue), NOT the enum; do NOT relocate enum. PORT-NOTE the rationale on the field. Consumer wiring: labelStyle setTextStyleCommon (~528/537 deferred) writes .minMargin/.textMargin.rawValue; labelLayoutHelper (~178, gap :380) reads/compares rawValue for expandOrShrinkRect. Field ONLY on TextStyleProps (not Part/protocol). L0 (Int?).
L0	create	ZRenderKit/event.ZRRawEvent.modifierKeys	shiftKey, ctrlKey, altKey	Sources/ZRenderKit/Core/event.swift	type	Three stored properties added to the existing `public final class ZRRawEvent` body: ⏎     public var shiftKey: Bool = false ⏎     public var ctrlKey: Bool = false ⏎     public var altKey: Bool = false	upstream/zrender/src/core/types.ts (ZRRawEvent = MouseEvent & ZREventProperties, lines 51-68); modifier keys are the DOM MouseEvent.shiftKey/ctrlKey/altKey booleans, consumed at upstream/echarts/src/component/helper/RoamController.ts:585	1	Sources/EChartsKit/component/helper/RoamController.swift	exists=false — CORRECTED per reviewer (verified: grep event.swift finds only zrByTouch@115; none of shiftKey/ctrlKey/altKey). The class ZRRawEvent exists (@82-138) but the named properties do NOT — the swift_name refers to the missing members, so exists=false; RoamController depends on them. EXTENDS the class body (Swift forbids stored props in extensions). Add as stored Bool (default false, non-Optional; mirror zrByTouch/cancelBubble) near other DOM/ZREventProperties fields. metaKey exists on DOM but unused by RoamController → omit (add // PORT-TODO if future consumer needs it). L0 (Bool only). Native UIKit bridge must populate per gesture. Downstream fix (separate task): RoamController.swift:667-681 isBehaviorSettingAvailable maps string 'shift'/'ctrl'/'alt' → e.event.*Key, replacing deferred stub @673-677.
L0	create	ZRenderKit/util.setAsPrimitive	setAsPrimitive	Sources/ZRenderKit/Core/util.swift	enum util	public static func setAsPrimitive(_ obj: AnyObject) — Void; companion `public static func isPrimitive(_ obj: Any) -> Bool`. Upstream tags obj[__ec_primitive__]=true so clone/merge skip traversing children.	upstream/zrender/src/core/util.ts:679-689 (const primitiveKey = '__ec_primitive__'; export function setAsPrimitive; companion export function isPrimitive)	2	Sources/EChartsKit/model/OptionManager.swift; Sources/EChartsKit/data/helper/sourceManager.swift	NOT DEFINED — only PORT-NOTEs (util.swift:486; OptionManager:115/127; sourceManager:495-505). CREATE in enum util at util.swift:486 keeping upstream order. Name verbatim + paired isPrimitive. MODEL MISMATCH: upstream mutates hidden string key; Swift value types can't carry hidden tag → keep identity side-set of ObjectIdentifier for reference bags → `obj: AnyObject`, isPrimitive(_ obj: Any)->Bool consulted in clone (util.swift:70-95 both branches) + merge (104-130, !isPrimitive guard 116-118) to early-return un-cloned. Primary consumers tag TYPED ARRAYS already non-cloned (clone falls to return source @90-94) — wiring mainly removes PORT-NOTE. Load-bearing: sourceManager:495-505 setAsPrimitive(option.transform) plain bag clone/merge WOULD walk. L0 (stdlib + existing clone/merge). When done delete 4 PORT-NOTE blocks + un-inert _=data/_=source (OptionManager 110-130).
L0	create	animation/basicTransition.removeElement+delayParams	removeElement	Sources/EChartsKit/animation/basicTransition.swift	enum basicTransition	func removeElement(_ el: Element, _ props: [String: Any], _ model: Model? = nil, _ dataIndex: Int? = nil, _ cb: (() -> Void)? = nil, _ during: ((Double) -> Void)? = nil)  // plus object-form overload carrying removeOpt: func removeElement(_ el: Element, _ props: [String: Any], _ model: Model?, _ opt: AnimateOrSetPropsOption)	upstream/echarts/src/animation/basicTransition.ts	3	Sources/EChartsKit/chart/bar/PictorialBarView.swift; Sources/EChartsKit/chart/helper/SymbolElement.swift; Sources/EChartsKit/animation/basicTransition.swift	exists=false — CORRECTED per reviewer: the file exists but the removeElement PROVIDER does not (grep: only removeElementWithFadeOut@202 + private fadeOutDisplayable@189; no `func removeElement`). exists tracks provider readiness, not file presence — consistent now with sibling customGraphicTransition (new free func in partly-ported file). Downstream consumers must NOT assume removeElement is callable yet. ⏎  ⏎ FILE ports most of the module (getAnimationConfig, private animateOrSetProps, initProps x2, updateProps, private isElementRemoved/fadeOutDisplayable, removeElementWithFadeOut, saveOldStyle/getOldStyle). Missing = public upstream export removeElement (ts:272), currently INLINED (fadeOutDisplayable calls animateOrSetProps directly). Fix EXTENDS file: (1) extract top-level removeElement that guards `if isElementRemoved(el){return}` then animateOrSetProps(.leave,...) (upstream 272-296); (2) object-form overload taking AnimateOrSetPropsOption (feeds leave-path extraOpts via removeOpt); (3) refactor fadeOutDisplayable to route through removeElement. Add as TOP-LEVEL free func (NOT enum-wrapped) to match siblings. Consumers: SymbolElement.fadeOut wants scaleX/scaleY->0 + fadeLabel leave; PictorialBarView.pbRemoveBar wants per-symbol scale->0 — both currently deferred to removeElementWithFadeOut opacity-only. ⏎  ⏎ DELAYPARAMS (2nd half) SEPARATE/dormant: getAnimationConfig threads extraDelayParams but it's always nil (animateOrSetProps passes nil; Model has no getAnimationDelayParams). Resolving = consumer-side wiring (see Model.getAnimationDelayParams row), NOT a new provider here. Supporting types (AnimationDelayCallbackParam/Callback, AnimationOption, AnimateOrSetPropsOption) exist. L0.
L0	create	animation/customGraphicTransition	applyUpdateTransition	Sources/EChartsKit/animation/customGraphicTransition.swift	enum customGraphicTransition	"// Module bundles these exported free funcs (top-level, NOT enum-wrapped — see notes): ⏎ public func applyUpdateTransition(_ el: Element, _ elOption: [String: Any], _ animatableModel: Model?, _ opts: ApplyUpdateTransitionOpts? = nil) ⏎ public func updateLeaveTo(_ el: Element, _ elOption: [String: Any]) ⏎ public func applyLeaveTransition(_ el: Element, _ elOption: [String: Any], _ animatableModel: Model, _ onRemove: (() -> Void)? = nil) ⏎ public func isTransitionAll(_ transition: Any?) -> Bool ⏎ public let ELEMENT_ANIMATABLE_PROPS: [String] = ["""", ""style"", ""shape"", ""extra""] ⏎ // opts bag:  struct ApplyUpdateTransitionOpts { var dataIndex: Int?; var isInit: Bool?; var clearStyle: Bool? }"	upstream/echarts/src/animation/customGraphicTransition.ts	2	Sources/EChartsKit/chart/custom/CustomView.swift; Sources/EChartsKit/component/graphic/GraphicView.swift	MUST BE CREATED — no customGraphicTransition.swift exists; module DEFERRED. Both consumers ship applyUpdateTransitionStatic substitutes (CustomView:587; GraphicView:606). Canonical names verbatim: applyUpdateTransition, applyLeaveTransition, updateLeaveTo, isTransitionAll, ELEMENT_ANIMATABLE_PROPS. Define as bare top-level public funcs (siblings basicTransition.swift/customGraphicKeyframeAnimation.swift are file-scope), do NOT namespace. ⏎  ⏎ ELEMENT_ANIMATABLE_PROPS COLLISION — ENFORCED (reviewer-confirmed duplicate-owner risk): the constant currently exists as a live provider at customGraphicKeyframeAnimation.swift:36 (non-public top-level `let`, consumed at :145). This row is the SINGLE OWNER. The fix MUST, in the same change: (1) declare `public let ELEMENT_ANIMATABLE_PROPS` here, (2) DELETE the customGraphicKeyframeAnimation.swift:36 declaration, (3) verify the keyframe file's :145 usage still resolves (same module, now via this public def), (4) widening to public is deliberate. Two top-level defs of the same name in one module = compile clash, so the MOVE+DELETE is not optional prose — it is part of landing this row. ⏎  ⏎ Deps all exist → L0: getAnimationConfig (basicTransition:28), model.makeInner (modelUtil:1148), model.normalizeToArray (modelUtil:473), cloneValue (Animator:235), Element.animateFrom/animateTo (1546/1553), attr/dirty/markRedraw, TRANSFORMABLE_PROPS (Transformable:425), Model.isAnimationEnabled (Model:242). elOption → [String:Any]; GraphicView hands its .option dict or a thin overload; animatableModel optional (upstream force-derefs). ~15 private helpers to port line-for-line (prepareTransformAllPropsFinal, prepareShapeOrExtraAllPropsFinal, prepareTransform/ShapeOrExtraTransitionFrom, prepareStyleTransitionFrom, applyPropsDirectly, applyPropsTransition, applyMiscProps, getElementAnimationConfig, duringCall, isNonStyleTransitionEnabled, transitionDuringAPI, LEGACY_TRANSFORM_PROPS_MAP); during/TransitionDuringAPI + __DEV__ guards port-or-PORT-TODO. compound-path branch reads (el as Path).shape.paths.
L0	create	chart/helper/LargeLineDraw	LargeLineDraw	Sources/EChartsKit/chart/helper/LargeLineDraw.swift	type	public final class LargeLineDraw { public let group = Group(); private var _newAdded: [LargeLinesPath] = []; public init(); public func updateData(_ data: SeriesData); public func incrementalPrepareUpdate(_ data: SeriesData); public func incrementalUpdate(_ taskParams: StageHandlerProgressParams, _ data: SeriesData, _ incrementalId: Int); public func remove(); public func eachRendered(_ cb: (Element) -> Bool?); private func _create() -> LargeLinesPath; private func _setCommon(_ lineEl: LargeLinesPath, _ data: SeriesData, _ isIncremental: Bool = false); private func _clear() } — plus companion new type in same file: public final class LargeLinesPath: Path (shape LargeLinesPathShape{polyline:Bool; curveness:Double; segs:[Double]}; __startIndex:Int; hoverDataIdx:Int = -1; notClear:Bool; reset(); beforeBrush; getDefaultStyle/getDefaultShape; buildPath; findDataIndex(_ x:Double,_ y:Double)->Int; contain; getBoundingRect)	upstream/echarts/src/chart/helper/LargeLineDraw.ts	1	Sources/EChartsKit/chart/lines/LinesView.swift	Upstream default export class LargeLineDraw implements ILineDraw. baseDraw/ILineDraw NOT ported (LineDraw precedent) → port as plain public final class, no protocol conformance. Must CREATE (only PORT-NOTE deferrals in LinesView:36/80/102). Mirror sibling LargeSymbolDraw.swift; two types in one file: (1) LargeLinesPath (Path subclass, upstream 59-230) with LargeLinesPathShape (polyline:Bool=false, curveness:Double=0, segs:[Double]=[] — packed linesPoints layout); (2) LargeLineDraw (232-353). Deps ALL ported → L0: Group, Path/PathProxy seam (buildPath via PathRebuilder §9), SeriesData (getLayout('linesPoints'), getModel('lineStyle').getLineStyle()), innerStore.getECData, contain line.containStroke/quadratic.containStroke, BoundingRect, tokens.color.neutral99. Traps: Float32Array concat → [Double] append §1; incrementalId Int?; ecData.dataIndex Double; mousemove closure [weak] §8; progressive _off/notClear ported but INERT (single-pass); getDefaultStyle fill:null → clear pathStyle.fill directly. Wiring LargeLineDraw into LinesView is separate follow-up. Keep upstream `// TODO Batch by color`.
L0	create	chart/treemap/treemapAction	installTreemapAction	Sources/EChartsKit/chart/treemap/treemapAction.swift	"top-level free function (file treemapAction.swift) — mirrors installTreeAction / installSankeyAction. NOT wrapped in an enum: the repo's install-action modules (treeAction.swift, sankeyAction.swift) all define a bare top-level `public func install<Chart>Action`, overriding CONVENTIONS §2's generic ""enum <ModuleName>"" rule for this file family."	public func installTreemapAction(_ registers: EChartsExtensionInstallRegisters)  // returns Void	upstream/echarts/src/chart/treemap/treemapAction.ts	3	Sources/EChartsKit/core/ECharts.swift; Sources/EChartsKit/chart/treemap/TreemapView.swift; Sources/EChartsKit/chart/treemap/Breadcrumb.swift	MUST BE CREATED (file absent). Upstream export installTreemapAction(registers). Body faithful: (1) loop actionTypes [treemapZoomToNode,treemapRender,treemapMove] register noop + update:'updateView'; (2) 4th action treemapRootToNode (update:'updateView') real handler: per matched series treeHelper.retrieveTargetInfo(payload,[treemapZoomToNode,treemapRootToNode],model); if targetInfo read model.getViewRoot() (TreeNode?; guard-let), payload.direction = treeHelper.aboveViewRoot(originViewRoot,targetInfo.node) ? rollUp : drillDown (payload.other[direction]), model.resetViewRoot(targetInfo.node). Register via module registerAction (core/action.swift). Series query via ecModel.eachSeriesByType(treemap) honoring payload seriesId/index. L0 — deps exist: core/action.swift, treeHelper.retrieveTargetInfo/aboveViewRoot (43/97), TreemapSeriesModel.getViewRoot/resetViewRoot (292/303), Global.eachSeriesByType (936). Wiring (separate): add installTreemapAction(ECharts._registers) to treemap install block (~749-753). treemapMove/treemapRender roam handled by view-group RoamController; noop registrations just make them dispatchable.
L0	create	component/marker/MarkerModel.DataModelConformance	getDataParams	Sources/EChartsKit/component/marker/MarkerModel.swift	extension MarkerModel	extension MarkerModel: DataModel { func getDataParams(_ dataIndex: Double, _ dataType: SeriesDataType? = nil, _ el: Element? = nil) -> CallbackDataParams { return self.getDataParams(dataIndex, dataType) } }	upstream/echarts/src/component/marker/MarkerModel.ts	3	Sources/EChartsKit/component/marker/MarkAreaView.swift; Sources/EChartsKit/component/marker/MarkPointView.swift; Sources/EChartsKit/component/marker/MarkLineView.swift	Upstream MarkerModel gains DataFormatMixin via mixin+interface-merge; port artifact needed to fit Swift ECData.dataModel: DataModel? (innerStore.swift:41), assigned by all three marker views. MarkerModel.swift already conforms DataHost+DataFormatMixin + 2-arg getDataParams (158, 327-344). ONLY missing = DataModel's 3-arg getDataParams(_:_:_:) (types.swift:305; el: is port artifact for CustomSeries). Add witness delegating to 2-arg. Declare on BASE MarkerModel (covers MarkPoint/Area/LineModel). exists=false. CRITICAL: subclass-specific extension MarkLineModel: DataModel (MarkLineView:597-605) becomes redundant-conformance error → MUST delete (591-605); MarkLineView live assignments (482,486) resolve via inherited base. Consumer wiring after: MarkPointView:232-236, MarkAreaView:519-526. Also ECharts:2900. L0 (deps exist; same-module ⇒ no @retroactive). Default =nil keeps 2-arg/3-arg callable.
L0	create	coord/View.roamTransformPipeline	applyViewCoordSysTransToElement	Sources/EChartsKit/coord/View.swift	top-level	public func applyViewCoordSysTransToElement(_ syncBackEl: Element?, _ syncBackType: Int, _ viewCoordSys: View, _ animatableModel: Model?)	echarts/src/coord/View.ts	6	Sources/EChartsKit/chart/graph/GraphView.swift; Sources/EChartsKit/chart/tree/TreeView.swift; Sources/EChartsKit/chart/sankey/SankeyView.swift; Sources/EChartsKit/chart/map/MapView.swift; Sources/EChartsKit/component/geo/GeoView.swift; Sources/EChartsKit/component/helper/MapDraw.swift	CONSUMER-LIST CORRECTED: added component/helper/MapDraw.swift — MapDraw is the actual direct caller (upstream MapDraw.ts:202 draw() + :241 __updateOnOwnRoam); MapView/GeoView delegate to MapDraw. This reciprocates the MapDraw row's L1 dependency and enforces provider-first ordering (build this before MapDraw). ⏎  ⏎ CANONICAL = applyViewCoordSysTransToElement (View.ts:608). Other names in upstream_symbol are separate: calcCompensationScaleToPreserveNodeSize ALREADY ported (View.swift:738); injectCoordSysByOption ALREADY ported (CoordinateSystemManager:333); createViewCoordSysSimply lives in roamHelper.ts (separate). ADD as top-level public func (View.swift realizes module free funcs top-level; do NOT enum-wrap). exists=false: only PORT-NOTE stub @View.swift:747-751 (verified: grep finds zero real defs in Sources/). Fix ALSO EXTENDS open class View: add stored props var syncBackEl: Element?, var syncBackType: Int (deferred @141-143). Body (608-631): set viewCoordSys.syncBackEl/syncBackType; if animatableModel==nil { viewCoordSysCopyTrans(syncBackEl,...); syncBackEl?.dirty() } else { updateProps(syncBackEl, marshalled [x/y/scaleX/scaleY] dict, animatableModel) }. L0 — deps exist: viewCoordSysCopyTrans (View:302), Element.dirty (:1403), updateProps (basicTransition:171). Marshal Transformable x/y/scaleX/scaleY into dict for updateProps [String:Any]. Mirror force-deref with syncBackEl?.dirty().
