bucket	swift	ts	prev_status	status	coverage	priority	n_fixed	n_remaining	n_new	fixed	remaining	newGaps	notes
A	Sources/EChartsKit/animation/basicTransition.swift	upstream/echarts/src/animation/basicTransition.ts	minor	minor	96	low	4	1	1	getAnimationConfig now reads ecModel.getUpdatePayload()?.animation and applies duration/easing/delay with highest priority (verified Global.setUpdatePayload/getUpdatePayload are real and ECharts.swift sets the payload at 3 call sites), so dataZoom/resize global animation override works ||| Function-valued animationDuration/animationDelay are evaluated: delayVal is cast to AnimationDelayCallback ((Double, AnimationDelayCallbackParam?)->Double) and durationVal to AnimationDurationCallback, so per-index staggered enter delay/duration works ||| getAnimationDelayParams hook wired: animateOrSetProps reads model?.getAnimationDelayParams?(el, dataIndex) (a real optional stored closure on Model, assigned by PictorialBarView.pbGetItemModel) and threads it as extraDelayParams ||| removeOpt override on the leave path modeled: removeElement(el, props, model, AnimateOrSetPropsOption) threads removeOpt into the extraOpts branch (duration ?? 200, easing ?? cubicOut, delay forced 0 exactly as upstream ts:84-86); removeElement is now a real top-level function so callers can animate arbitrary leave props (e.g. scaleX/scaleY -> 0)	isElementRemoved omits upstream's leading `if (!el.__zr) return true`, so a leave animation is still scheduled on an element already detached from the render tree (documented zr-less driver adaptation; harmless in the live host, changes headless leave semantics — a repeated removeElement re-fires its cb)	saveOldStyle/getOldStyle capture only Path.pathStyle, so a ZRText or ZRImage that is reused across renders has no old style recorded and universalTransition cannot tween its style (upstream stores el.style for any Displayable)	Verified against upstream line-by-line; ordering of payload-override-before-isFunction matches ts:99-113. transNum handles Double/Int/NSNumber so the documented Int-vs-Double option-read trap is avoided. Supporting types all exist and are real: util/types.swift:371 PayloadAnimationPart, :1314-1315 AnimationDurationCallback/AnimationDelayCallback, model/Model.swift:88 getAnimationDelayParams. No stale markers found — the header PORT-NOTEs accurately describe implemented code.
A	Sources/EChartsKit/chart/bar/BarView.swift	upstream/echarts/src/chart/bar/BarView.ts	major	major	90	medium	6	2	4	realtimeSort scaffolding is now real, not no-ops: _enableRealtimeSort (first-frame initSort + zr 'rendered' listener with the abs(height/width) orderMapping), _dataSort (NaN-as-min descending sort producing OrdinalSortInfo), _isOrderChangedWithinSameData, _isOrderDifferentInView, _updateSortWithinSameData and _dispatchInitSort all match upstream bodies and dispatch the changeAxisOrder payload ||| itemStyle.borderRadius now reaches the renderer: updateStyle does a whole-shape read-modify-write of RectShape.r via barRectRadiusFromOption (number and number[] forms), and ZRenderKit Rect.buildPath routes a truthy r through roundRect.buildPath — bar corners actually round; the partial {x,y,width,height} anim dict leaves r untouched during tweens ||| _incrementalRenderLarge is no longer a no-op: it calls _removeBackground() then barCreateLarge(seriesModel, group, &_progressiveEls, true) (the real progressive overload in LargeBarPath.swift) ||| setLabelValueAnimation is wired: the whole label block in updateStyle now runs (getLabelStatesModels + setLabelStyle with defaultOutsidePosition, then setLabelValueAnimation with seriesModel.getRawValue and getDefaultInterpolatedLabel); labelStyle.setLabelValueAnimation is a real implementation storing prevValue/value/valueAnimation/precision ||| Large-mode mouse hit-test is wired: barCreateLarge binds mousedown/mousemove to the throttled largePathUpdateDataIndex, backed by a real largePathFindDataIndex walking the packed points buffer — tooltip/hover over large bars can resolve dataIndex ||| Polar roundCap honoured: elementCreatorPolar picks SausagePath when (!isRadial && roundCap) and Sector otherwise, and the sector<->sausage recreate-on-change branch is reproduced in _renderPolarBars	updateRealtimeAnimation is still a stub (BarView.swift:902-920): upstream splits the layout into an axis-driven target (animated with the baseAxis model) and a series-driven growth target; the port does a single instant el.setShape(layout) and does NOTHING when isChangeOrder is true — so on a changeAxisOrder re-render bar-racing bars never move to their new axis positions and the growth animation is instant instead of tweened ||| Polar sector label rotation/position still deferred: setSectorTextRotation / createSectorCalculateTextPosition / createPolarPositionMapping (label/sectorLabel) are not ported, so polar bar labels are never rotated to follow the sector and the sector text-position mapping is unavailable	_renderPolarBars implements no clipping: upstream's clip.polar clipper (and the resulting el.ignore) is absent, so polar bars outside the coord-sys angle/radius extent are drawn un-clipped instead of being trimmed/hidden ||| showBackground is not supported on polar: _renderPolarBars skips the createBackground/bgGroup path entirely (upstream createBackgroundEl has a Sector branch), so backgroundStyle bars never appear on a polar bar chart ||| (el as ECElement).forceLabelAnimation = true is still not set on realtimeSort bars, so bar-racing labels don't force their value animation ||| On a changeAxisOrder update upstream copies labelInner(textEl).value into .prevValue to suppress a fresh label animation; the port skips this, so a reorder restarts a full animationDurationUpdate label roll	"STALE-MARKER: Sources/EChartsKit/chart/bar/BarView.swift:44 says ""the label block in `updateStyle` is still deferred in this view"" but the label block IS implemented at 1085-1109 (getLabelStatesModels + setLabelStyle + setLabelValueAnimation). STALE-MARKER: BarView.swift:62 repeats ""(label block still deferred in this view)"" for labelHelper, which is likewise live (getDefaultLabel at 1089, getDefaultInterpolatedLabel at 1108). STALE-MARKER (reverse kind — comment claims parity over a real gap): BarView.swift:913-915 says the split axis/series animation targets ""collapse to setting the final shape once — so this is equivalent to el.setShape(layout)"", which was true only while initProps/updateProps were no-op shims; they are now real animations, so this is a genuine behaviour divergence, not an equivalence. Also note the realtimeSort pipeline as a whole is still inert end-to-end because no `changeAxisOrder` action handler is registered anywhere in Sources/ (upstream registers it in chart/bar/install.ts) — that gap belongs to the install file, not this one. Status kept at major solely because realtimeSort/bar-racing still breaks; every non-racing bar feature (cartesian, polar, large, labels, emphasis, borderRadius) is now behaviourally complete."
A	Sources/EChartsKit/chart/bar/PictorialBarView.swift	upstream/echarts/src/chart/bar/PictorialBarView.ts	minor	minor	96	low	4	0	2	prepareLineWidth now matches upstream exactly (PictorialBarView.swift:479-494 vs ts:413-437): the scratch path gets scaleX/scaleY/rotation, updateTransform(), then valueLineWidth /= pathForLineWidth.getLineScale() followed by *= symbolScale[valueDim.index] — borderWidth on rotated/scaled symbols is correctly sized ||| createPath drops nothing: pbCreatePath returns a Displayable and symbol.createSymbol has a live `image://` branch (util/symbol.swift:642-650 → ZRenderKit.makeImage), with strokeNoScale correctly skipped for the non-Path ZRImage — image-symbol pictorial bars render ||| getAnimationDelayParams / __pictorialAnimationIndex are modelled: pictorialAnimInner (makeInner side-store) records index/repeatTimes per symbol path (set at 669 and 694) and pbGetItemModel assigns itemModel.getAnimationDelayParams returning {count, index}; that itemModel flows into symbolMeta.animationModel and thence into every initProps/updateProps call, so per-repeat staggered animationDelay ordering works ||| removeBar now uses the upstream per-path leave animation: pbRemoveBar calls removeElement(path, [scaleX:0, scaleY:0], animationModel, dataIndex, done) for every bundle child plus __pictorialMainPath, with the clip-path animationModel nil-out, instead of a whole-bar opacity fade		Emphasis/blur/select state styles applied to an `image://` symbol are inert (PORT-TODO ZRenderKit/Image.ZRImage.stateStyleSync at PictorialBarView.swift:1073): the state style writes Displayable.style while ZRImage renders from its own imageStyle, so hover opacity/color on image pictorial symbols does nothing (the scale 1.1 emphasis still works) ||| pbRemoveBar detaches the bar immediately (un-animated) when the path list is empty — an intentional, explicitly flagged divergence from upstream, which would leak the bar in that degenerate case	"All four previously recorded gaps verified closed in code (not just comments). Related stale markers in the dependency, worth fixing while nearby: STALE-MARKER Sources/EChartsKit/util/symbol.swift:420 says ""the image:// / path:// conformers are deferred"" and :683 calls makeFallbackSymbol the ""Fallback builder for the deferred image:// / path:// branches"", while createSymbol at :642-660 fully implements BOTH branches via ZRenderKit.makeImage / makePath. The file's own header PORT-NOTE at :36-37 and :68 correctly describes the live wiring."
A	Sources/EChartsKit/chart/bar/pictorialBarInstall.swift	upstream/echarts/src/chart/bar/installPictorialBar.ts	minor	minor	92	low	1	1	2	"All five upstream install() registrations verified LIVE in the driver (this was the previously unverifiable gap): registerChartView → ECharts.swift:1318 `""pictorialBar"": { PictorialBarView() }`; registerSeriesModel → the `-- chart/bar/installPictorialBar.ts --` block in installOnce(); registerLayout(VISUAL.LAYOUT) → ECharts.swift:540 _pictorialBarLayoutHandler.overallReset run at :1965; registerLayout(PROGRESSIVE_LAYOUT) → ECharts.swift:541 _pictorialBarProgressiveLayoutHandler run via runSeriesStageHandler at :1966; registerBarGridAxisHandlers → registerBarGridAxisHandlers(_registers) at ECharts.swift:699 which registers both 'bar' and 'pictorialBar' under callOnlyOnce"	There is still no callable install(registers) symbol: an embedder cannot register pictorialBar a la carte or through an extension host — registration exists only inside the monolithic ECharts.installOnce()	Ordering deviation confirmed in the driver: the PROGRESSIVE_LAYOUT-priority pictorialBar stage runs inline right after the cross-series stage (ECharts.swift:1965-1966), i.e. BEFORE pieLayout/funnelLayout/candlestickLayout/boxplotLayout/sunburstLayout/treemapLayout, whereas upstream's PRIORITY.VISUAL.PROGRESSIVE_LAYOUT places it after every overall layout — benign today but a real divergence if any later overall stage must prepare information for it ||| createProgressiveLayout(SERIES_TYPE_PICTORIAL_BAR) is built with handler.plan = nil in layout/barGrid.swift (unlike candlestickLayout/candlestickVisual, which were fixed to use createRenderPlanner()), so pictorialBar's per-item layout has no progressive plan gating	File contains no executable code — it is a documentation/diffable-surface shim, same convention as boxplotInstall.swift. Graded on whether upstream's install() effects are reachable, which they now are (each mapping checked against core/ECharts.swift rather than trusted from the comment block). The INTEGRATION SURFACE comments in this file are accurate; no stale markers.
A	Sources/EChartsKit/chart/boxplot/boxplotInstall.swift	upstream/echarts/src/chart/boxplot/install.ts	stub	minor	88	low	2	1	0	"Stale port-notes removed and now accurate: the file states BoxplotView.swift and boxplotTransform.swift are ported, which matches reality (both sibling files exist and are implemented) ||| All five install() registrations verified LIVE in the driver: ComponentModel.registerClass(BoxplotSeriesModel.self) at ECharts.swift:780; registerBoxplotAxisHandlers(_registers) at :781; `""boxplot"": { BoxplotView() }` in _chartViewFactories at :1330; boxplotLayout(ecModel) in the overall layout stage at :1997; try! registerExternalTransform(boxplotTransform) in component/transform/transformInstall.swift:69"	install(registers) is still commented out — there is no callable registration entry point, so boxplot cannot be installed a la carte or by an extension host; it only works because ECharts.installOnce() hardcodes the equivalent five calls		Re-graded up from stub/30 because the previous grade penalised unverified driver wiring; each of the five registrations was traced to a concrete call site this pass. Graded identically to the sibling pictorialBarInstall.swift so the two stay comparable. No stale markers remain in this file — every 'ported' claim in the INTEGRATION SURFACE block checks out.
A	Sources/EChartsKit/chart/boxplot/boxplotTransform.swift	upstream/echarts/src/chart/boxplot/boxplotTransform.ts	minor	parity	97	low	1	0	2	The SOURCE_FORMAT_ARRAY_ROWS guard is now ported verbatim (boxplotTransform.swift:45-53): a non-array-rows upstream source builds the __DEV__ makePrintable message and calls log.throwError, instead of silently coercing to empty rows		Genuinely empty rows are filtered out before prepareBoxplotData (line 70) whereas upstream keeps them (yielding NaN bounds) — a documented Swift-safety deviation that changes box count for degenerate input ||| The thrown error escalates further than upstream: applySingleDataTransform → sourceManager's catch calls doThrow (fatalError), so a bad boxplot transform config aborts the process rather than just rejecting that chart (documented, and the same convention as the sibling built-in transforms)	Otherwise a faithful port: config handling accepts both PrepareBoxplotDataOpt and the raw option dict, coerces Int-boxed/numeric-string boundIQR to Double (avoids the documented Int-vs-Double option-read trap) while leaving the literal 'none' a String, passes itemNameFormatter through erased, and returns the same two result items with the same dimension names. Arity-preserving cell coercion (non-numeric → NaN, not dropped) matches upstream's type-erasing cast, which matters for Q1/Q2/Q3. No stale markers.
A	Sources/EChartsKit/chart/candlestick/candlestickLayout.swift	upstream/echarts/src/chart/candlestick/candlestickLayout.ts	minor	parity	98	low	2	0	2	handler.plan is now createRenderPlanner() wrapped in an arity adapter (lines 108-111); createRenderPlanner (chart/helper/createRenderPlanner.swift) is a real implementation with the makeInner large/progressiveRender state and the `&& 'reset'` return idiom, and it is instantiated once so its state persists across calls ||| The three axisSnippets helpers were re-read against upstream/echarts/src/chart/helper/axisSnippets.ts and are behaviourally identical, not stubs: makeAxisStatKey (seriesType + AXIS_STAT_KEY_DELIMITER), createBandWidthBasedAxisContainShapeHandler (calcBandWidth + isNullableNumberFinite → [-w2/2, w2/2]), createMetricsNonOrdinalLinearPositiveMinGap (registerMetricImplLiPosMinGap + liPosMinGap: !isOrdinalScale)		handler.plan is ported but dormant on the live path: ECharts.runSeriesStageHandler (core/ECharts.swift:1800-1838) reads only seriesType/reset and never calls plan, so large-mode switches don't trigger a plan-driven reset (driver/Scheduler gap, not a gap in this file) ||| The local axisSnippets copies are a drift liability — makeAxisStatKey2 is absent and any upstream change to the shared module won't propagate — but they are behaviourally correct today	Compared function by function against upstream, including largeProgress offset arithmetic (NaN row writes one NaN then skips 3; sign, lowest[0], lowest[1], highest[1]) and getSign's doji/previous-close tie-breaking — both exact. calculateCandleWidth correctly denulls NSNull before retrieve2 (the explicit-null default convention) so barMaxWidth/barMinWidth fall back properly. No stale markers: the PORT-NOTEs at 102-107 and 417-425 accurately describe what the code does.
A	Sources/EChartsKit/chart/candlestick/candlestickVisual.swift	upstream/echarts/src/chart/candlestick/candlestickVisual.ts	minor	parity	99	low	1	0	2	handler.plan is now createRenderPlanner() behind an arity adapter (lines 79-82), created once so the planner's per-series large/progressive makeInner state persists across passes — progressive planning is represented		handler.performRawSeries = true is set but the driver's runSeriesStageHandler ignores it (it iterates ecModel.eachSeries and relies on the reset's own isSeriesFiltered early-out), so the upstream distinction of running this visual on raw/filtered series for legend colouring is not honoured — a driver/Scheduler gap surfaced by this file ||| plan is likewise never invoked because candlestickVisual is driven directly by runSeriesStageHandler (ECharts.swift:1990) rather than registered with the Scheduler	reset body matches upstream exactly, including the isSeriesFiltered early-out, the !isLargeRender gate, sign-driven getColor/getBorderColor query selection (borderColorDoji when sign === 0) and the `getBorderColor(...) || style.fill` JS-truthiness fallback, with the value-type extend-and-write-back for ensureUniqueItemVisual. The liveness PORT-NOTE at 73-78 was checked against core/ECharts.swift and is accurate (not stale) — registerVisual is indeed still a comment at :769 and the handler is run directly at :1990.
A	Sources/EChartsKit/chart/chord/ChordPiece.swift	upstream/echarts/src/chart/chord/ChordPiece.ts	minor	minor	95	low	2	1	0	setLabelStyle is now called with the real getLabelStatesModels(itemModel) states bag + defaultOpacity + inheritColor + defaultOutsidePosition:'startArc', so emphasis/blur/select label styles and the visual opacity now apply to chord node labels ||| non-firstCreate updateProps({shape}) tween is wired (chordShapeProps dict fed to updateProps), so a merge-mode setOption now animates node arcs instead of snapping; the port's own first-create sweep substitute is gone	Label text fallback is approximated: upstream's inline labelFetcher forces dataType 'node' and retrieve3(formatter, normal formatter, itemModel.name) as the formatter, while the port passes seriesModel as fetcher and folds the fallback into defaultText = node.id (a node whose `name` differs from its `id`, or a formatter template supplied via the node's own `name`, renders different text)		Both recorded gaps are genuinely closed in code (setLabelStyle machinery at :197-227, updateProps at :129) and emphasis/focus wiring was added too (toggleHoverEmphasis + setStatesStylesFromModel at :156-165). STALE-MARKER: ChordPiece.swift:143 says 'per-state itemStyle (emphasis/blur/select) not wired here yet' but setStatesStylesFromModel(el, itemModel) runs 22 lines below. STALE-MARKER: ChordPiece.swift:29 and :36-44 (header import map) still say graphic.updateProps is DEFERRED and that the view 'inlines a minimal NORMAL-state label' — both are now fully wired. Grade from code, not from this header.
A	Sources/EChartsKit/chart/chord/chordInstall.swift	upstream/echarts/src/chart/chord/install.ts	minor	parity	100	none	1	0	0	"All four upstream registrations verified live in core/ECharts.swift: ComponentModel.registerClass(ChordSeriesModel.self) (:838), ""chord"": { ChordView() } in _chartViewFactories (:1342), chordCircularLayout(ecModel, api) in the layout section of render() (:2075), and legendDataFilter(SERIES_TYPE_CHORD) in _dataFilters (:563)"			File is documentation-only by the repo's driver convention (registration lives in core/ECharts.swift); the previously recorded gap was conditional on the driver actually registering the four items, and all four were confirmed present and reached. The only deviation left is the upstream PRIORITY.VISUAL.POST_CHART_LAYOUT ordering being replaced by a direct call, which is not load-bearing (chordCircularLayout reads only api dimensions + series options and no other stage touches chord layout).
