fix_status	priority	status	coverage	lane	area	swift	ts	portTodos	n_gaps	gaps	commit	notes
partial	high	major	40	3	component	Sources/EChartsKit/component/tooltip/TooltipView.swift	upstream/echarts/src/component/tooltip/TooltipView.ts	0	8	formatter (string/function callback) override of default markup not ported → custom tooltip.formatter content unavailable ||| position option (callback / string 'top'/'inside' / [x,y] array) + confine not ported → only default below/right-of-pointer, clamped placement ||| showDelay/hideDelay + transitionDuration animation + throttled _updatePosition (createOrUpdate) not ported → shows/hides synchronously, no move tween ||| findPointFromSeries not ported → showTip action without x/y falls back to view centre instead of series layout point ||| _showComponentItemTooltip not ported → component (markPoint/geo/timeline) item tooltips unavailable ||| _tryShow dispatcher walk (dataByCoordSys build, legend/component branches) + globalListener not ported; caller must pre-resolve series/dataIndex ||| _updateContentNotChangedOnAxis / _keepShow no-change-position-only update path not ported ||| TooltipHTMLContent host absent: renderMode forced 'richText', so renderMode:'html'/'auto' ignored	fa5cae7	addressed=2 | deferred=8
partial	high	major	55	2	chart	Sources/EChartsKit/chart/graph/GraphView.swift	upstream/echarts/src/chart/graph/GraphView.ts	0	7	_startForceLayoutIteration not driven; layout:'force' graphs never iterate/converge (only circular + simpleLayout render) ||| edgeSymbol from/toSymbol arrow markers (ECLinePath.setLinePoints) not drawn; edges are bare Line/BezierCurve ||| roam pan/zoom fully deferred: RoamController + applyViewCoordSysTransToElement + updateRoamControllerSimply not wired ||| node draggable (el.on('drag'/'dragend') per-layout reposition) not wired ||| circular rotateLabel via rotateNodeLabel deferred; node labels not rotated in circular layout ||| _renderThumbnail / thumbnailBridge deferred; no minimap thumbnail ||| _updateNodeAndLinkScale setSymbolScale (node/link roam scaling) deferred	af58c06	addressed=1 | deferred=6
partial	high	major	55	3	component	Sources/EChartsKit/component/timeline/SliderTimelineView.swift	upstream/echarts/src/component/timeline/SliderTimelineView.ts	2	7	_doPlayStop deferred: autoPlay never starts the advance timer, so the timeline never auto-advances ||| _updateTicksStatus deferred: tick symbols/labels before currentIndex never toggle the 'progress' state (no past-tick highlight) ||| onclick (_changeTimeline) not wired on ticks/labels/play/prev/next buttons: every click is a no-op ||| checkpoint pointer drag (_handlePointerDrag/_handlePointerDragend/_pointerChangeTimeline/_toAxisCoord) deferred: pointer not draggable ||| ensureState('emphasis'/'progress') + enableHoverEmphasis omitted on all elements: no hover emphasis ||| giveSymbol collapsed to create-only; pointerMoveTo animateTo branch absent, so pointer index changes never animate ||| remove()/dispose() (_clearTimer) not ported	9328796	addressed=3 | deferred=3
fixed	high	major	60	3	chart	Sources/EChartsKit/chart/lines/LinesView.swift	upstream/echarts/src/chart/lines/LinesView.ts	0	5	`clip` option not wired — createClipPath(coordSys)+group.setClipPath omitted, so overflow clipping of lines is unavailable ||| Large mode (isLargeDraw / LargeLineDraw) not ported — large-mode lines series do not render ||| incrementalPrepareRender / incrementalRender / updateTransform / eachRendered not wired — progressive rendering and transform-only roam/zoom updates absent ||| fromSymbol/toSymbol arrow markers, per-line label, and emphasis/blur states deferred (finishBuildLine) ||| Only Cartesian2D coordinate system handled — polar/geo lines drop to resetPersistentElements() and draw nothing	36b2e52	addressed=1 | deferred=4
partial	high	major	65	1	util	Sources/EChartsKit/util/graphic.swift	upstream/echarts/src/util/graphic.ts	1	5	setTooltipConfig not ported anywhere -> component-level item tooltipConfig (title/legend/geo/graphic/timeline) is unavailable ||| clipRectByRect not ported (only inlined per-demo) -> custom-series rect-clip helper missing ||| groupTransition not ported -> parallel-axis (and legacy group) transition animation is a no-op ||| calcZ2Range not ported -> z2-range label-lifting computation absent ||| extendShape/extendPath not ported -> user shape/path extension API unavailable	9da728d	addressed=5 | deferred=1
fixed	high	major	70	2	chart	Sources/EChartsKit/chart/treemap/TreemapView.swift	upstream/echarts/src/chart/treemap/TreemapView.ts	2	6	_initEvents node click (nodeClick zoomToNode / rootToNode / link windowOpen) is a no-op: clicking a tile never zooms or drills (treemapAction not ported) ||| _zoomToNode/_rootToNode dispatchAction deferred, and breadcrumb onSelect callback is empty: no drill/roll navigation at all ||| _onPan/_onZoom roam re-layout (treemapMove/treemapRender) replaced by a container-group transform: roam moves/scales tiles instead of re-laying-out the rootRect ||| _doAnimation (drill/roll re-root, fade-out-to-corner, fade-in) deferred; replaced by a simpler morph + opacity entrance fade ||| Hierarchical DataDiffer dualTravel replaced by static rebuild gated on node-count: no id-based element reuse across structural changes ||| renderBackground/renderContent emphasis/blur/select fills use setStatesStylesFromModel instead of upstream's state itemStyle with fill=borderColor, so state colors differ	7c90908	addressed=1 | deferred=5
partial	high	major	72	2	chart	Sources/EChartsKit/chart/custom/CustomView.swift	upstream/echarts/src/chart/custom/CustomView.ts	1	8	Per-state STATES loop that calls updateElOnState (upstream doCreateOrUpdateEl L1084-1089) is deferred: renderItem emphasis/blur/select {style,shape} overrides never applied ||| applyUpdateTransition/applyLeaveTransition deferred: transition/enterFrom/leaveTo/during-driven prop tweening does not animate (static apply + removeElementWithFadeOut substitute) ||| Group-child by-name diff (diffGroupChildren via DataDiffer, $mergeChildren:'byName') deferred: children rebuilt by index each render, losing per-child identity/animation ||| Legacy ec4 style compat (convertFromEC4CompatibleStyle/isEC4CompatibleStyle) and deprecated api.style/api.styleEmphasis return best-effort raw visual bag only ||| style.decal pattern (createOrUpdatePatternFromDecal) deferred: decals ignored on custom elements ||| api.getZr() and api.getDevicePixelRatio() stubbed (return nil / 1.0) ||| per-state z (updateZForEachState) and ec4 z2EmphasisLift/z2SelectLift=1 default not written; uses generic Z2 lift ||| renderItem params.context shared across datums upstream but copied per-datum here (value type), losing cross-datum state stash	9d63d46	addressed=4 | deferred=5
partial	high	major	80	1	chart	Sources/EChartsKit/chart/bar/BarView.swift	upstream/echarts/src/chart/bar/BarView.ts	0	6	realtimeSort entirely stubbed: _enableRealtimeSort/_dataSort/_updateSortWithinSameData/_dispatchInitSort/_isOrderChangedWithinSameData/_isOrderDifferentInView are no-ops → bar racing sort/reorder animation unavailable ||| itemStyle.borderRadius dropped: setShape('r', borderRadius) is a documented ZRenderKit no-op → bar corners never round ||| _incrementalRenderLarge is a no-op (createLarge incremental/progressive branch deferred) → progressive large-bar draw absent ||| setLabelValueAnimation deferred → bar label numeric roll-up animation missing ||| large-path mouse hit-test (largePathUpdateDataIndex throttle) deferred → tooltip/hover over large-mode bars cannot resolve dataIndex ||| polar roundCap (Sausage) and sector label rotation (setSectorTextRotation/getSectorCornerRadius) deferred → polar bars always square-capped, no rotated sector labels	48e0abb	addressed=3 | deferred=3
fixed	medium	major	20	2	component	Sources/EChartsKit/component/parallel/ParallelComponentView.swift	upstream/echarts/src/component/parallel/ParallelView.ts	0	4	The mousedown/mouseup/mousemove handler table is commented out and never registered via getZr().on, so axis-expand-on-click/mousemove never fires ||| _dispatchExpand body is commented; the parallelAxisExpand action is never dispatched even if the method is reached ||| createOrUpdate/debounceNextCall throttle wiring (axisExpandRate/axisExpandDebounce) not ported, so throttled expand dispatch is absent ||| checkTrigger gating (axisExpandable / axisExpandTriggerOn) unimplemented — interaction cannot be enabled	17524f2	deferred=4
fixed	medium	major	35	2	label	Sources/EChartsKit/label/labelGuideHelper.swift	upstream/echarts/src/label/labelGuideHelper.ts	0	5	updateLabelLinePoints not ported: the candidate-anchor guide-line generation entry (getCandidateAnchor/nearestPointOnPath/nearestPointOnRect) is absent ||| setLabelLineStyle not ported: no generic label-line creation/state styling (show/smooth/lineStyle/showAbove) — charts must draw leader lines inline ||| getLabelLineStatesModels not ported: no per-state (normal/emphasis/blur/select) labelLine model resolution ||| buildLabelLinePath / setLabelLineState not ported: smooth bezier leader-line path building is absent ||| projectPointToArc / projectPointToRect not ported (only projectPointToLine present), so nearestPointOnPath arc/rect projection unavailable	20f52da	deferred=5
